video_id,comment_id,title,published_at,channel,view_count,like_count,comment_count
YipQa3s7oyc,,"Bicara Capaian MBG, Presiden Prabowo: Program Makan Bergizi Gratis Sentuh 36,2 Juta Penerima Manfaat",2025-10-18T13:37:50Z,KOMPASTV,11944,16,30
6lTjTgXMbaw,,Penelusuran Dapur Makan Bergizi Gratis | Prime Story,2025-09-25T13:41:20Z,CNN Indonesia,39404,180,216
csnDNvy_eH0,,Prabowo Sebut Satu Kasus Keracunan Makan Bergizi Gratis Tidak Bisa Ditoleransi! Harus Evaluasi,2025-10-16T04:12:20Z,Tribunnews,74286,61,42
U_eeyk2z6cg,,MAKAN BERGIZI GRATIS,2025-10-19T00:35:49Z,SPPG_PADILHIDAYAH.BDG.,6672,34,0
D_JTv10P-RA,,[FULL] KETAR-KETIR MAKAN BERGIZI GRATIS || REALITAS,2025-10-04T13:16:21Z,METRO TV ,2551,18,8
o1edpHn8HHg,,Menakar Penerapan Program Makan Bergizi Gratis,2025-07-14T13:45:09Z,CNN Indonesia,15017,121,117
JxKhzrUmVFU,,MAKAN BERGIZI GRATIS,2025-10-19T00:38:30Z,SPPG_PADILHIDAYAH.BDG.,8620,57,0
beaAfTmE9Ro,,"Makan Bergizi Gratis Rp10.000 per Porsi, Koki Harus Putar Otak Tentukan Menu Makanan - SIS 07/01",2025-01-07T08:32:30Z,Seputar iNews RCTI,70470,247,385
3K3TIjrQRwM,,MAKAN BERGIZI GRATIS,2025-10-19T00:37:01Z,SPPG_PADILHIDAYAH.BDG.,2316,15,0
Srcua-VZxvY,,wow di hari Sabtu dapat makan bergizi gratis,2025-10-18T14:31:24Z,Nurmin Moh. Ali,2579,16,0
Zwzoe4LdJPo,,"Tak Dibayar Hampir Rp1 Miliar, Dapur Makan Bergizi Gratis Berhenti Beroperasi",2025-04-16T10:00:00Z,KOMPASTV,41851,203,227
92bjOqgHPxs,,MAKAN BERGIZI GRATIS,2025-10-19T00:38:13Z,SPPG_PADILHIDAYAH.BDG.,10875,68,1
bq5C9TcgyGk,,"Temuan Produk Makan Bergizi Gratis Mengandung Minyak Babi, Kepala BGN &amp; Menag Bereaksi Keras",2025-08-26T14:30:16Z,Tribunnews,69687,154,138
wKGbAv20V6E,,Program Makan Bergizi Gratis Tetap Diberikan Selama Libur Sekolah | Kabar Merah Putih tvOne,2025-06-30T08:45:44Z,tvOneNews ,4317,23,30
TBTcSx_yjcY,,MAKAN BERGIZI GRATIS,2025-10-19T00:35:57Z,SPPG_PADILHIDAYAH.BDG.,5205,22,0
vT7qrtjIJHg,,VIRAL! Tingkah Lucu Penerima Makan Bergizi Gratis #shorts,2025-09-29T15:24:15Z,Official iNews,30568,393,33
X4ADpP3fhMg,,LAGU KRITIK PEMERINTAH || MBG - MAKAN BERGIZI GRATIS - NOIRNA RAP HIJAB (Official Music Video),2025-09-21T10:37:21Z,Noirna,268030,2492,282
oAirmw0kmwg,,Jika Utang Dipakai Mendanai Makan Bergizi Gratis,2025-08-22T13:22:42Z,Tempodotco,74424,548,607
NviGln1euq8,,"Prabowo Akui Program Makan Bergizi Gratis Masih Ada Kekurangan, Apa Solusinya? | KOMPAS PETANG",2025-09-29T11:49:45Z,KOMPASTV,7826,7,6
bDPbWODRZaM,,"Kasus Siswa Keracunan MBG, Apa yang Harus Dievaluasi dari Makan Bergizi Gratis?",2025-09-24T05:00:44Z,KOMPASTV JAWA TIMUR,9954,43,73
cMae0UkPiAw,,"Momen Prabowo Sidak Makan Bergizi Gratis, Dikerubungi Anak-anak",2025-02-03T16:05:33Z,Kompas.com,143876,1509,112
