video_id,title,published_at,channel,view_count,like_count,comment_count
csnDNvy_eH0,Prabowo Sebut Satu Kasus Keracunan Makan Bergizi Gratis Tidak Bisa Ditoleransi! Harus Evaluasi,2025-10-16T04:12:20Z,Tribunnews,72530,60,41
GX4-ZSp155o,Ini Dia Menu Spesial Makan Bergizi Gratis Se-Indonesia di Hari Ultah Presiden Prabowo | Liputan 6,2025-10-17T23:29:17Z,Liputan6,3616,32,26
6lTjTgXMbaw,Penelusuran Dapur Makan Bergizi Gratis | Prime Story,2025-09-25T13:41:20Z,CNN Indonesia,39062,179,215
WliUXTcU_Ps,Menu Makan bergizi gratis #mbg #food #subscribe,2025-10-18T02:02:59Z,MBG Indonesia,8547,77,14
D_JTv10P-RA,[FULL] KETAR-KETIR MAKAN BERGIZI GRATIS || REALITAS,2025-10-04T13:16:21Z,METRO TV ,2535,18,8
o1edpHn8HHg,Menakar Penerapan Program Makan Bergizi Gratis,2025-07-14T13:45:09Z,CNN Indonesia,15001,121,117
F2n5vzx04dk,MENU MAKAN BERGIZI GRATIS SESUAI PILIHAN AKU 😂,2025-10-18T08:00:22Z,SYAQINA ALMIRA,432,2,0
beaAfTmE9Ro,"Makan Bergizi Gratis Rp10.000 per Porsi, Koki Harus Putar Otak Tentukan Menu Makanan - SIS 07/01",2025-01-07T08:32:30Z,Seputar iNews RCTI,70451,247,385
CDmdypN3a3E,"[HEADLINE NEWS, 18/10] Program Makan Bergizi Gratis Dorong Penurunan Kemiskinan Desa",2025-10-18T01:21:45Z,METRO TV ,285,3,0
Zwzoe4LdJPo,"Tak Dibayar Hampir Rp1 Miliar, Dapur Makan Bergizi Gratis Berhenti Beroperasi",2025-04-16T10:00:00Z,KOMPASTV,41815,203,227
6pJpYEQMGug,MAKAN BERGIZI GRATIS,2025-10-18T00:20:39Z,SPPG_PADILHIDAYAH.BDG.,20614,71,0
bq5C9TcgyGk,"Temuan Produk Makan Bergizi Gratis Mengandung Minyak Babi, Kepala BGN &amp; Menag Bereaksi Keras",2025-08-26T14:30:16Z,Tribunnews,69681,154,138
vT7qrtjIJHg,VIRAL! Tingkah Lucu Penerima Makan Bergizi Gratis #shorts,2025-09-29T15:24:15Z,Official iNews,30057,388,33
wKGbAv20V6E,Program Makan Bergizi Gratis Tetap Diberikan Selama Libur Sekolah | Kabar Merah Putih tvOne,2025-06-30T08:45:44Z,tvOneNews ,4313,23,30
X4ADpP3fhMg,LAGU KRITIK PEMERINTAH || MBG - MAKAN BERGIZI GRATIS - NOIRNA RAP HIJAB (Official Music Video),2025-09-21T10:37:21Z,Noirna,258748,2457,278
oAirmw0kmwg,Jika Utang Dipakai Mendanai Makan Bergizi Gratis,2025-08-22T13:22:42Z,Tempodotco,74419,548,607
-LWhGAqK2sI,"[FULL] Agar Makan Bergizi Gratis Tak Jadi Makan Beracun Gratis, Ini Evaluasi DPR hingga Pengamat",2025-10-01T15:25:17Z,KOMPASTV,11511,49,44
e0e1q4Xa4EU,"Begadang Siapkan Makan Bergizi Gratis untuk Siswa Sekolah, Begini Cerita Ibu-ibu di Jakarta Timur",2025-01-06T05:03:31Z,Tribun Jambi,105087,258,102
bDPbWODRZaM,"Kasus Siswa Keracunan MBG, Apa yang Harus Dievaluasi dari Makan Bergizi Gratis?",2025-09-24T05:00:44Z,KOMPASTV JAWA TIMUR,9923,43,73
cMae0UkPiAw,"Momen Prabowo Sidak Makan Bergizi Gratis, Dikerubungi Anak-anak",2025-02-03T16:05:33Z,Kompas.com,142454,1498,112
NviGln1euq8,"Prabowo Akui Program Makan Bergizi Gratis Masih Ada Kekurangan, Apa Solusinya? | KOMPAS PETANG",2025-09-29T11:49:45Z,KOMPASTV,7825,7,6
Nkkv7yXsQ-o,MAKAN BERGIZI GRATIS HARI PERTAMA #MBG #mbg #makan #makanbergizigratis,2025-09-15T13:09:54Z,MI RA AL HUDA KARANGSARI,19584,122,13
